Type,Count,Size
.bmp,277,5960600
.exr,2,5270
.h,12929,637581783
.s,617,5604792
.am,8,40080736
.bak,6,10032727
.dat,1620,705761678
.xlsx,22,192458
.svg,9322,41172929
.csv,20,384930
.ras,2,2112
.htm,274,3495368
.eps,6,244432
.pm,666,11186145
.doc,37,420352
.idx,15,1399464
.afm,6,49995
.jpeg,26,282720
.ps,56,9370667
.ett,4,239616
.lst,1,239
.cat,36520,747362155
.dit,3,6291566
.dotx,9,119466
.dpt,8,324608
.tpl,23,144608
.stl,18,249460
.c,1005,8094363
.pdf,38,377196560
.gif,553,36663506
.txt,2860,136670453
.xaml,546,5558490
.asm,52,318137
.dotm,5,48900
.xls,10,278528
.mfl,1927,22657213
.sgi,2,3934
.z,3,320502
.xpm,24,27588
.mp4,29,12963675
.tiff,2,2652
.xml,6762,327968622
.icm,4,442494
.out,99,106169
.raw,23,694461
.dxt,8,2098176
.docx,29,122395586
.sv,2,62463
.png,21370,148545872
.m,3,1156
.obj,53,535619
.pic,1,2893
.wps,7,100438
.html,46080,647494680
.csh,11,9895
.cfg,79,316249
.bin,816,1148472556
.tga,1,1920018
.et,4,97280
.cd,1,60
.d,839,4415079
.ppt,8,167936
.potx,14,6261242
.model,13,294287
.acl,11,198726
.g,1,29013
.x,10,86291
.sdb,49,48468575
.stp,4,1542
.emf,6,9136
.session,1,20480
.exe,8610,10571755959
.exp,1,37291
.pc,9,8606
.dps,2,41984
.wpt,6,323584
.url,9,729
.cpp,983,5689475
.rtf,3817,81622824
.pot,4,138314
.pri,2946,265584831
.zip,52,97090235
.tif,79,224296
.pptx,60,2979596
.jpg,477,92882088
